scenario,training_size,w_phy,a_mse,v_mse,a_mse_first,v_mse_first
0,500,0,0.8064,2.2784,0.3275,0.0038
0,500,0,0.2139,1.0370,0.2345,0.0027
0,500,0,0.2361,1.1518,0.2521,0.0025
0,500,0,0.2248,0.9641,0.2287,0.0023
0,500,0,0.4804,1.2463,0.3351,0.0032
0,500,0.01,0.2476,1.1567,0.2609,0.0025
0,500,0.01,0.2247,1.0813,0.2997,0.0028
0,500,0.01,0.2181,0.9422,0.2247,0.0023
0,500,0.01,0.2193,0.9942,0.2498,0.0029
0,500,0.01,0.3435,1.8595,0.2967,0.0030
0,500,0.01,0.4918,1.3122,0.2249,0.0026
0,500,0.01,0.2709,1.4211,0.2991,0.0040
0,500,0.01,0.2585,1.3643,0.2918,0.0028
0,500,0.01,0.2439,1.0342,0.2224,0.0022
0,500,0.01,0.2156,0.9626,0.2300,0.0025
0,500,0.02,0.2183,0.9329,0.2648,0.0025
0,500,0.02,0.2977,1.6220,0.2710,0.0028
0,500,0.02,0.2414,1.1767,0.2813,0.0027
0,500,0.02,0.2715,1.4507,0.3399,0.0038
0,500,0.02,0.2291,1.0903,0.2776,0.0029
0,500,0.02,0.2215,1.1099,0.2214,0.0023
0,500,0.02,0.4755,1.3063,0.2582,0.0027
0,500,0.02,0.2549,1.2411,0.2867,0.0027
0,500,0.02,0.2288,1.0121,0.2410,0.0024
0,500,0.03,0.2232,1.0621,0.2564,0.0024
0,500,0.03,0.2714,1.3328,0.3171,0.0030
0,500,0.03,0.2123,1.0038,0.2250,0.0024
0,500,0.03,0.2424,1.1404,0.3047,0.0029
0,500,0.03,0.2572,1.2741,0.2675,0.0028
0,500,0.03,0.2656,1.4249,0.3271,0.0039
0,500,0.01,0.2045,0.8861,0.2131,0.0022
0,500,0.01,0.3001,1.6004,0.3115,0.0032
0,500,0.01,0.2785,1.4645,0.2815,0.0028
0,500,0.01,0.2124,0.9551,0.2644,0.0027
0,500,0.01,0.2480,1.1789,0.2827,0.0029
0,500,0.02,0.3334,1.9356,0.3348,0.0032
0,500,0.02,0.4967,1.7180,0.2891,0.0026
0,500,0.02,0.2693,1.4974,0.3376,0.0035
0,500,0.02,0.2124,1.0237,0.2316,0.0026
0,500,0.02,0.4763,1.2543,0.2395,0.0024
0,500,0.03,0.2273,1.0087,0.2660,0.0028
0,500,0.03,0.2279,1.0799,0.2352,0.0023
0,500,0.03,0.3218,1.7070,0.3286,0.0032
0,500,0.03,0.2235,1.0944,0.2792,0.0025
0,500,0.03,0.2390,1.1720,0.2703,0.0027
0,500,0.01,0.2655,1.3796,0.2661,0.0027
0,500,0.01,0.2183,1.0301,0.2597,0.0026
0,500,0.01,0.2347,1.0154,0.2341,0.0023
0,500,0.01,0.2168,1.0846,0.2146,0.0022
0,500,0.01,0.2770,1.3388,0.3277,0.0030
0,500,0.015,0.4525,1.1951,0.2505,0.0024
0,500,0.015,0.2427,1.2265,0.2760,0.0026
0,500,0.015,0.2401,1.1902,0.2727,0.0025
0,500,0.015,0.2460,1.2828,0.2807,0.0026
0,500,0.015,0.5193,1.8876,0.3269,0.0035
0,500,0.02,0.2411,1.0875,0.2501,0.0026
0,500,0.02,0.4958,1.5455,0.2565,0.0025
0,500,0.02,0.2557,1.2795,0.2652,0.0026
0,500,0.02,0.2348,1.1436,0.2319,0.0023
0,500,0.02,0.4795,1.0790,1.1409,0.0030
0,500,0.025,0.2088,0.8959,0.2768,0.0025
0,500,0.025,0.2343,1.1507,0.2767,0.0027
0,500,0.025,0.2319,1.1508,0.3432,0.0032
0,500,0.025,0.2656,1.4189,0.3194,0.0027
0,500,0.025,0.2494,1.1419,0.3304,0.0031
0,500,0.03,0.3002,1.6787,0.3492,0.0036
0,500,0.03,0.2159,1.0967,0.2121,0.0022
0,500,0.03,0.2448,1.2226,0.2510,0.0027
0,500,0.03,0.2213,1.0164,0.2390,0.0024
0,500,0.03,0.2514,1.3108,0.3235,0.0026
0,500,0.035,0.2513,1.2742,0.2442,0.0029
0,500,0.035,0.2415,1.1510,0.2477,0.0032
0,500,0.035,0.2412,1.2058,0.2493,0.0024
0,500,0.035,0.5550,2.3416,0.3728,0.0035
0,500,0.035,0.2333,1.1829,0.2450,0.0028
0,500,0.04,0.2182,0.9700,0.2402,0.0024
0,500,0.04,0.2347,1.1251,0.2310,0.0025
0,500,0.04,0.2653,1.3236,0.3124,0.0028
0,500,0.04,0.2925,1.7152,0.3412,0.0032
0,500,0.04,0.2762,1.3997,0.2678,0.0028
0,500,0.01,0.2444,1.1803,0.2883,0.0027
0,500,0.01,0.2347,1.1086,0.2717,0.0023
0,500,0.01,0.2648,1.3257,0.2528,0.0027
0,500,0.01,0.3089,1.6944,0.3365,0.0030
0,500,0.1,0.3292,1.9778,0.4050,0.0044
0,500,0.1,0.3984,2.4242,0.4066,0.0045
0,500,0.1,0.6205,2.7968,0.5184,0.0047
0,500,0.1,0.3955,2.4982,0.4304,0.0041
0,500,0.1,0.5607,2.2453,0.3146,0.0030
0,500,0.05,0.5783,2.0228,0.3061,0.0033
0,500,0.05,0.2862,1.4489,0.2878,0.0028
0,500,0.06,0.5396,1.9372,0.2956,0.0033
0,500,0.06,0.5996,2.3240,0.3160,0.0030
0,500,0.025,0.2320,1.0919,0.2212,0.0022
0,500,0.025,0.2198,1.0013,0.2237,0.0025
0,500,0.025,0.1959,0.8877,0.1640,0.0016
0,500,0.025,0.2138,1.0711,0.2257,0.0022
